解算X	解算Y	原始X	原始Y	误差X	误差Y
1422.41	2161.73	1419.88	2159	-2.53836	-2.726
1525.43	2162.48	1522.32	2158.43	-3.10499	-4.05475
1011.52	1387.53	1010.88	1389.13	-0.641019	1.59634
275.716	856.192	277.616	857.463	1.8996	1.27093
274.107	324.436	276.877	328.267	2.77012	3.83092
166.924	322.051	170.214	326	3.29015	3.94915
245.65	364.307	248.359	368.611	2.70917	4.30357
607.633	668.96	607.625	669.375	-0.00827997	0.414958
604.698	1554.34	603.769	1555.42	-0.9287	1.07359
73.7332	76.7219	70.345	74.958	-3.38823	-1.76388
210.756	78.5809	210.18	79.356	-0.576131	0.775084
213.744	424.206	216.25	427.125	2.50558	2.91892
1433.88	434.54	1432	436	-1.88017	1.45981
1189.14	2132.88	1188.38	2131.5	-0.767516	-1.37744
1537.26	2134.48	1533.99	2130.82	-3.27041	-3.65931
292.431	125.274	293.25	132	0.819367	6.72635
671.464	129.896	672	139.375	0.535916	9.47897
1983.73	142.458	1983.83	154.46	0.0970485	12.002
